Index,TimeStamp,ECG Value
1289,1:53:784,103
1290,1:53:788,68
1291,1:53:792,91
1292,1:53:796,104
1293,1:53:799,75
1294,1:53:803,89
1295,1:53:806,354
1296,1:53:810,72
1297,1:53:814,102
1298,1:53:817,98
1299,1:53:821,74
1300,1:53:824,96
1301,1:53:828,99
1302,1:53:831,331
1303,1:53:836,108
1304,1:53:840,96
1305,1:53:843,75
1306,1:53:847,110
1307,1:53:850,94
1308,1:53:854,77
1309,1:59:458,384
1310,1:59:460,129
1311,1:59:462,220
1312,1:59:465,89
1313,1:59:470,120
1314,1:59:473,102
1315,1:59:477,92
1316,1:59:481,388
1317,1:59:484,104
1318,1:59:488,95
1319,1:59:491,134
1320,1:59:495,99
1321,1:59:498,125
1322,1:59:502,220
1323,1:59:506,348
1324,1:59:510,129
1325,1:59:514,128
1326,1:59:517,92
1327,1:59:521,110
1328,1:59:524,203
1329,1:59:528,84
1330,1:59:532,370
1331,1:59:535,108
1332,1:59:539,118
1333,1:59:542,105
1334,1:59:546,102
1335,1:59:549,69
1336,1:59:554,93
1337,1:59:558,419
1338,1:59:561,85
1339,1:59:565,91
1340,1:59:568,86
1341,1:59:572,68
1342,1:59:575,99
1343,1:59:579,124
1344,1:59:582,335
1345,1:59:586,115
1346,1:59:590,99
1347,1:59:593,201
1348,1:59:598,120
1349,1:59:601,96
1350,1:59:605,82
1351,1:59:608,463
1352,1:59:612,92
1353,1:59:616,101
1354,1:59:619,124
1355,1:59:623,186
